15,55;0,379006
15,60;0,379599
15,65;0,380192
15,70;0,380785
15,75;0,381379
15,80;0,381973
15,85;0,382568
15,90;0,383163
15,95;0,383757
16,00;0,384352
16,05;0,384948
16,10;0,385543
16,15;0,386139
16,20;0,386735
16,25;0,387331
16,30;0,387927
16,35;0,388524
16,40;0,389121
16,45;0,389719
16,50;0,390318
16,55;0,390917
16,60;0,391516
16,65;0,392115
16,70;0,392715
16,75;0,393314
16,80;0,393914
16,85;0,394514
16,90;0,395114
16,95;0,395715
17,00;0,396316
17,05;0,396917
17,10;0,397519
17,15;0,398121
17,20;0,398723
17,25;0,399326
17,30;0,399929
17,35;0,400533
17,40;0,401137
17,45;0,401742
17,50;0,402348
17,55;0,402954
17,60;0,403560
17,65;0,404167
17,70;0,404773
17,75;0,405380
17,80;0,405987
17,85;0,406594
17,90;0,407202
17,95;0,407810
18,00;0,408418
18,05;0,409026
18,10;0,409634
18,15;0,410243
18,20;0,410851
18,25;0,411460
18,30;0,412069
18,35;0,412679
18,40;0,413288
18,45;0,413897
18,50;0,414507
18,55;0,415117
18,60;0,415727
18,65;0,416338
18,70;0,416949
18,75;0,417561
18,80;0,418173
18,85;0,418786
18,90;0,419399
18,95;0,420013
19,00;0,420627
19,05;0,421241
19,10;0,421854
19,15;0,422469
19,20;0,423083
19,25;0,423699
19,30;0,424315
19,35;0,424932
19,40;0,425548
19,45;0,426165
19,50;0,426783
19,55;0,427402
19,60;0,428021
19,65;0,428640
19,70;0,429259
19,75;0,429879
19,80;0,430499
19,85;0,431119
19,90;0,431741
19,95;0,432362
20,00;0,432983
20,05;0,433604
20,10;0,434226
20,15;0,434848
20,20;0,435470
20,25;0,436092
20,30;0,436716
20,35;0,437339
20,40;0,437962
20,45;0,438585
20,50;0,439209
20,55;0,439832
20,60;0,440456
20,65;0,441080
20,70;0,441705
20,75;0,442329
20,80;0,442954
20,85;0,443579
20,90;0,444205
20,95;0,444830
21,00;0,445455
21,05;0,446081
21,10;0,446706
21,15;0,447332
21,20;0,447957
21,25;0,448583
21,30;0,449209
21,35;0,449835
21,40;0,450462
21,45;0,451088
21,50;0,451714
21,55;0,452341
21,60;0,452967
21,65;0,453594
21,70;0,454221
21,75;0,454848
21,80;0,455475
21,85;0,456103
21,90;0,456730
21,95;0,457358
22,00;0,457986
22,05;0,458614
22,10;0,459243
22,15;0,459871
22,20;0,460499
22,25;0,461128
22,30;0,461757
22,35;0,462387
22,40;0,463016
22,45;0,463646
22,50;0,464275
22,55;0,464905
22,60;0,465535
22,65;0,466165
22,70;0,466795
22,75;0,467426
22,80;0,468056
22,85;0,468687
22,90;0,469318
22,95;0,469949
23,00;0,470581
23,05;0,471212
23,10;0,471844
23,15;0,472476
23,20;0,473108
23,25;0,473740
23,30;0,474372
23,35;0,475004
