0;0,225987
0,05;0,225546
0,1;0,225105
0,15;0,224665
0,2;0,224225
0,25;0,223785
0,3;0,223346
0,35;0,222907
0,4;0,222468
0,45;0,22203
0,5;0,221592
0,55;0,221154
0,6;0,220717
0,65;0,220279
0,7;0,219842
0,75;0,219405
0,8;0,218969
0,85;0,218532
0,9;0,218095
0,95;0,217659
1;0,217222
1,05;0,216786
1,1;0,216349
1,15;0,215913
1,2;0,215477
1,25;0,215041
1,3;0,214607
1,35;0,214172
1,4;0,213738
1,45;0,213304
1,5;0,21287
1,55;0,212437
1,6;0,212004
1,65;0,211571
1,7;0,211139
1,75;0,210707
1,8;0,210276
1,85;0,209845
1,9;0,209413
1,95;0,208982
2;0,208552
2,05;0,208121
2,1;0,20769
2,15;0,20726
2,2;0,20683
2,25;0,206401
2,3;0,205971
2,35;0,205542
2,4;0,205113
2,45;0,204685
2,5;0,204257
2,55;0,203829
2,6;0,203402
2,65;0,202975
2,7;0,202548
2,75;0,202121
2,8;0,201695
2,85;0,201269
2,9;0,200843
2,95;0,200417
3;0,199992
3,05;0,199567
3,1;0,199143
3,15;0,198718
3,2;0,198294
3,25;0,19787
3,3;0,197446
3,35;0,197021
3,4;0,196597
3,45;0,196173
3,5;0,195749
3,55;0,195325
3,6;0,194902
3,65;0,194478
3,7;0,194055
3,75;0,193631
3,8;0,193208
3,85;0,192785
3,9;0,192362
3,95;0,191939
4;0,191517
4,05;0,191095
4,1;0,190673
4,15;0,190252
4,2;0,189831
4,25;0,189411
4,3;0,188991
4,35;0,188571
4,4;0,188151
4,45;0,187732
4,5;0,187313
4,55;0,186895
4,6;0,186476
4,65;0,186058
4,7;0,18564
4,75;0,185222
4,8;0,184804
4,85;0,184386
4,9;0,183969
4,95;0,183551
5;0,183134
5,05;0,182717
5,1;0,1823
5,15;0,181884
5,2;0,181467
5,25;0,181051
5,3;0,180635
5,35;0,180219
5,4;0,179803
5,45;0,179387
5,5;0,178971
5,55;0,178555
5,6;0,17814
5,65;0,177724
5,7;0,177309
5,75;0,176893
5,8;0,176479
5,85;0,176064
5,9;0,175649
5,95;0,175235
6;0,174821
6,05;0,174407
6,1;0,173992
6,15;0,173578
6,2;0,173164
6,25;0,17275
6,3;0,172336
6,35;0,171922
6,4;0,17151
6,45;0,171097
6,5;0,170685
6,55;0,170273
6,6;0,169861
6,65;0,169449
6,7;0,169038
6,75;0,168628
6,8;0,168217
